"LOINC_CODE","LOINC_NAME","LOINC_COMPONENT","LOINC_PROPERTY","LOINC_TIMEASPECT","LOINC_SYSTEM","LOINC_SCALE","LOINC_METHOD"
"6076-4",Clam IgE Ab [Units/volume] in Serum,Ruditapes spp Ab.IgE,ACnc,Pt,Ser,Qn,
"40879-9",Chicken IgE Ab [Units/volume] in Serum,Chicken Ab.IgE,ACnc,Pt,Ser,Qn,
"6242-2",Sesame Seed IgE Ab [Units/volume] in Serum,Sesamum indicum Ab.IgE,ACnc,Pt,Ser,Qn,
"6136-6",Hazelnut IgE Ab [Units/volume] in Serum,Corylus avellana Ab.IgE,ACnc,Pt,Ser,Qn,
"6248-9",Soybean IgE Ab [Units/volume] in Serum,Glycine max Ab.IgE,ACnc,Pt,Ser,Qn,
"10920-7",Bamboo shoot IgE Ab [Units/volume] in Serum,Phyllostachys pubescens Ab.IgE,ACnc,Pt,Ser,Qn,
"19739-2",Fenugreek IgE Ab [Units/volume] in Serum,Trigonella foenum-graecum Ab.IgE,ACnc,Pt,Ser,Qn,
"6193-7",Onion IgE Ab [Units/volume] in Serum,Allium cepa Ab.IgE,ACnc,Pt,Ser,Qn,
"6131-7",Grapefruit IgE Ab [Units/volume] in Serum,Citrus paradisis Ab.IgE,ACnc,Pt,Ser,Qn,
"10932-2",Tetramin IgE Ab [Units/volume] in Serum,Tetramin Ab.IgE,ACnc,Pt,Ser,Qn,
"15259-5",Regional Allergen Mix 4 (Bermuda grass+Perennial rye grass+Brome+Common ragweed+Mugwort+English plantain) IgE Ab [Presence] in Serum by Multidisk,(Cynodon dactylon+Lolium perenne+Bromus inermis+Ambrosia elatior+Artemisia vulgaris+Plantago lanceolata) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"23797-4",Tree Allergen Mix 2 (Boxelder+White oak+White elm+Cottonwood+Carya pecan) IgE Ab [Presence] in Serum by Multidisk,(Acer negundo+Quercus alba+Ulmus americana+Populus deltoides+Carya pecan) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"15264-5",Tree Allergen Mix 3 (Mountain juniper+White oak+White elm+Cottonwood+Mesquite) IgE Ab [Presence] in Serum by Multidisk,(Juniperus sabinoides+Quercus alba+Ulmus americana+Populus deltoides+Prosopis juliflora) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"15268-6",Tree Allergen Mix 7 (Olive+Willow+Eastern white pine+Eucalyptus spp+Wattle+Cajeput) IgE Ab [Presence] in Serum by Multidisk,(Olea europaea+Salix caprea+Pinus strobus+Eucalyptus spp+Acacia longifolia+Melaleuca leucadendron) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"6038-4",American Beech IgE Ab [Units/volume] in Serum,Fagus grandifolia Ab.IgE,ACnc,Pt,Ser,Qn,
"6069-9",Chestnut Pollen IgE Ab [Units/volume] in Serum,Castanea sativa pollen Ab.IgE,ACnc,Pt,Ser,Qn,
"6015-2",Wattle IgE Ab [Units/volume] in Serum,Acacia longifolia Ab.IgE,ACnc,Pt,Ser,Qn,
"6109-3",White Elm IgE Ab [Units/volume] in Serum,Ulmus americana Ab.IgE,ACnc,Pt,Ser,Qn,
"6058-2",Canary grass IgE Ab [Units/volume] in Serum,Phalaris arundinacea Ab.IgE,ACnc,Pt,Ser,Qn,
"6195-2",Cocksfoot IgE Ab [Units/volume] in Serum,Dactylis glomerata Ab.IgE,ACnc,Pt,Ser,Qn,
"6280-2",Whitefaced Hornet IgE Ab [Units/volume] in Serum,Dolichovespula maculata Ab.IgE,ACnc,Pt,Ser,Qn,
"10938-9",Mediterranean flour moth IgE Ab [Units/volume] in Serum,Ephestia kuehniella Ab.IgE,ACnc,Pt,Ser,Qn,
"6133-3",Green Nimitti IgE Ab [Units/volume] in Serum,Cladotanytarsus lewisi Ab.IgE,ACnc,Pt,Ser,Qn,
"6150-7",Ispaghula laxative IgE Ab [Units/volume] in Serum,Ispaghula laxative Ab.IgE,ACnc,Pt,Ser,Qn,
"19748-3",Methyltetrahydrophthalic anhydride (MTHPA) IgE Ab [Units/volume] in Serum,Methyltetrahydrophthalic anhydride Ab.IgE,ACnc,Pt,Ser,Qn,
"19758-2",Silk waste IgE Ab [Units/volume] in Serum,Silk waste Ab.IgE,ACnc,Pt,Ser,Qn,
"6258-8",Sunflower Seed IgE Ab [Units/volume] in Serum,Helianthus annuus seed Ab.IgE,ACnc,Pt,Ser,Qn,
"6094-7",Curvularia lunata IgE Ab [Units/volume] in Serum,Curvularia lunata Ab.IgE,ACnc,Pt,Ser,Qn,
"34571-0",Activated partial thromboplastin time (aPTT).lupus sensitive in Platelet poor plasma by Coagulation assay,Coagulation surface induced.lupus sensitive,Time,Pt,PPP,Qn,Coag
"27818-4",Protein C actual/normal in Platelet poor plasma by Chromogenic method,Protein C actual/Normal,RelCCnc,Pt,PPP,Qn,Chromo
"6200-0",Pellitory (Parietaria officinalis) IgE Ab [Units/volume] in Serum,Parietaria officinalis Ab.IgE,ACnc,Pt,Ser,Qn,
"6128-3",Goldenrod IgE Ab [Units/volume] in Serum,Solidago virgaurea Ab.IgE,ACnc,Pt,Ser,Qn,
"6057-4",Chamomile IgE Ab [Units/volume] in Serum,Matricaria chamomilla Ab.IgE,ACnc,Pt,Ser,Qn,
"6239-8",Lenscale IgE Ab [Units/volume] in Serum,Atriplex lentiformis Ab.IgE,ACnc,Pt,Ser,Qn,
"6085-5",Common Ragweed IgE Ab [Units/volume] in Serum,Ambrosia elatior Ab.IgE,ACnc,Pt,Ser,Qn,
"6244-8",Sheep Sorrel IgE Ab [Units/volume] in Serum,Rumex acetosella Ab.IgE,ACnc,Pt,Ser,Qn,
"6077-2",Cocklebur IgE Ab [Units/volume] in Serum,Xanthium commune Ab.IgE,ACnc,Pt,Ser,Qn,
"24358-4",Hemogram without Platelets panel in Blood,Hemogram WO platelets panel,-,Pt,Bld,Qn,
"4463-6",Spermatozoa motility and count panel,Motility & count panel,-,Pt,Semen,-,
"2144-4",Cortisol [Mass/volume] in Urine,Cortisol,MCnc,Pt,Urine,Qn,
"790-6",Erythrocytes [#/volume] in Blood by Manual count,Erythrocytes,NCnc,Pt,Bld,Qn,Manual count
"709-6",Blasts/100 leukocytes in Blood by Manual count,Blasts/100 leukocytes,NFr,Pt,Bld,Qn,Manual count
"48495-6",Transferrin.carbohydrate deficient/Transferrin.total in Serum or Plasma,Transferrin.carbohydrate deficient/Transferrin.total,MFr,Pt,Ser/Plas,Qn,
"2039-6",Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,Carcinoembryonic Ag,MCnc,Pt,Ser/Plas,Qn,
"26539-7",Glucose [Mass/volume] in Serum or Plasma --45 minutes post dose glucose,Glucose^45M post dose glucose,MCnc,Pt,Ser/Plas,Qn,
"21310-8",Glucose [Mass/volume] in Serum or Plasma --75 minutes post XXX challenge,Glucose^75M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"5905-5",Monocytes/100 leukocytes in Blood by Automated count,Monocytes/100 leukocytes,NFr,Pt,Bld,Qn,Automated count
"2711-0",Oxygen saturation in Venous blood,Oxygen saturation,MFr,Pt,BldV,Qn,
"50794-7",Osmotic fragility beginning hemolysis of Red Blood Cells,Osmotic fragility.beginning hemolysis,NFr,Pt,RBC,Qn,
"675-9",Enterobius vermicularis [Identifier] in Unspecified specimen by Pinworm exam,Enterobius vermicularis,Prid,Pt,XXX,Nom,Pinworm examination
"737-7",Lymphocytes/100 leukocytes in Blood by Manual count,Lymphocytes/100 leukocytes,NFr,Pt,Bld,Qn,Manual count
"20585-6",Lymphocytes [#/volume] in Unspecified specimen by Automated count,Lymphocytes,NCnc,Pt,XXX,Qn,Automated count
"2458-8",IgA [Mass/volume] in Serum,IgA,MCnc,Pt,Ser,Qn,
"3040-3",Lipase [Enzymatic activity/volume] in Serum or Plasma,Triacylglycerol lipase,CCnc,Pt,Ser/Plas,Qn,
"14879-1",Phosphate [Moles/volume] in Serum or Plasma,Phosphate,SCnc,Pt,Ser/Plas,Qn,
"8248-7",Spermatozoa [Presence] in Urine sediment by Light microscopy,Spermatozoa,ACnc,Pt,Urine sed,Ord,Microscopy.light
"9318-7",Albumin/Creatinine [Mass ratio] in Urine,Albumin/Creatinine,MCrto,Pt,Urine,Qn,
"33948-1",IgG/Creatinine [Mass ratio] in Urine,IgG/Creatinine,MCrto,Pt,Urine,Qn,
"27815-0",Coagulation factor XIII activity actual/normal in Platelet poor plasma by Chromogenic method,Coagulation factor XIII activity actual/Normal,RelCCnc,Pt,PPP,Qn,Chromo
"14979-9",Activated partial thrombplastin time (aPTT) in Platelet poor plasma by Coagulation assay,Coagulation surface induced,Time,Pt,PPP,Qn,Coag
"13535-0",Sucrose hemolysis of Red Blood Cells,Sucrose hemolysis,NFr,Pt,RBC,Qn,
"31115-9",Aneuploid cells population 2/100 cells in Unspecified specimen,Cells.aneuploid.population 2/100 cells,NFr,Pt,XXX,Qn,
"38435-4",Terminal deoxyribonucleotidyl transferase cells/100 cells in Unspecified specimen,Cells.terminal deoxyribonucleotidyl transferase/100 cells,NFr,Pt,XXX,Qn,
"2484-4",Insulin-like growth factor-I [Mass/volume] in Serum or Plasma,Insulin-like growth factor-I,MCnc,Pt,Ser/Plas,Qn,
"2839-9",Progesterone [Mass/volume] in Serum or Plasma,Progesterone,MCnc,Pt,Ser/Plas,Qn,
"2139-4",Corticosterone [Mass/volume] in Serum or Plasma,Corticosterone,MCnc,Pt,Ser/Plas,Qn,
"12278-8",Neutrophils.band form/100 leukocytes in Cerebral spinal fluid by Manual count,Neutrophils.band form/100 leukocytes,NFr,Pt,CSF,Qn,Manual count
"6412-1",Giardia lamblia Ag [Presence] in Stool by Immunoassay,Giardia lamblia Ag,ACnc,Pt,Stool,Ord,EIA
"25375-7",Chymotrypsin [Enzymatic activity/mass] in Stool,Chymotrypsin,CCnt,Pt,Stool,Qn,
"3103-9",Urobilin [Presence] in Urine,Urobilin,ACnc,Pt,Urine,Ord,
"20586-4",CD1 cells/100 cells in Unspecified specimen,Cells.CD1/100 cells,NFr,Pt,XXX,Qn,
"20587-2",CD10 cells/100 cells in Unspecified specimen,Cells.CD10/100 cells,NFr,Pt,XXX,Qn,
"51126-1",CD22 blasts/100 blasts in Unspecified specimen,Blasts.CD22/100 blasts,NFr,Pt,XXX,Qn,
"20610-2",CD45 cells/100 cells in Unspecified specimen,Cells.CD45/100 cells,NFr,Pt,XXX,Qn,
"12239-0",Oligosaccharides [Presence] in Urine,Oligosaccharides,ACnc,Pt,Urine,Ord,
"13927-9",Pancreatic islet cell Ab [Titer] in Serum,Pancreatic islet cell Ab,Titr,Pt,Ser,Qn,
"34598-3",Sialate [Presence] in Urine,Sialate,ACnc,Pt,Urine,Ord,
"7566-3",Parakeet serum IgE Ab [Units/volume] in Serum,Parakeet serum Ab.IgE,ACnc,Pt,Ser,Qn,
"12480-0",Angiotensin converting enzyme [Enzymatic activity/volume] in Cerebral spinal fluid,Angiotensin converting enzyme,CCnc,Pt,CSF,Qn,
"42200-6",DNA double strand Ab [Units/volume] in Serum by Radioimmunoassay (RIA),DNA double strand Ab,ACnc,Pt,Ser,Qn,RIA
"15181-1",IgA [Mass/volume] in Body fluid,IgA,MCnc,Pt,Body fld,Qn,
"14159-8",Cortisone [Mass/volume] in Serum or Plasma,Cortisone,MCnc,Pt,Ser/Plas,Qn,
"2267-3",Etiocholanolone [Mass/volume] in Urine,Etiocholanolone,MCnc,Pt,Urine,Qn,
"20657-3",Taurine [Moles/volume] in Serum or Plasma,Taurine,SCnc,Pt,Ser/Plas,Qn,
"26613-0",Sarcosine [Moles/volume] in Serum or Plasma,Sarcosine,SCnc,Pt,Ser/Plas,Qn,
"20661-5",Valine [Moles/volume] in Serum or Plasma,Valine,SCnc,Pt,Ser/Plas,Qn,
"26607-2",Cystathionine [Moles/volume] in Serum or Plasma,Cystathionine,SCnc,Pt,Ser/Plas,Qn,
"27352-4",Homocystine [Units/volume] in Serum or Plasma,Homocystine,ACnc,Pt,Ser/Plas,Qn,
"26604-9",Beta alanine [Moles/volume] in Serum or Plasma,Beta alanine,SCnc,Pt,Ser/Plas,Qn,
"20650-8",Lysine [Moles/volume] in Serum or Plasma,Lysine,SCnc,Pt,Ser/Plas,Qn,
"22690-2",Proline/Creatinine [Molar ratio] in Urine,Proline/Creatinine,SCrto,Pt,Urine,Qn,
"11103-9",Neutrophils.band form/100 cells in Bone marrow by Microscopy,Neutrophils.band form/100 cells,NFr,Pt,Bone mar,Qn,Microscopy
"11128-6",Neutrophils.segmented/100 cells in Bone marrow,Neutrophils.segmented/100 cells,NFr,Pt,Bone mar,Qn,
"57397-2",CD19+CD20+ cells/100 cells in Body fluid,Cells.CD19+CD20+/100 cells,NFr,Pt,Body fld,Qn,
"51259-0",CD16+CD57+ cells/100 cells in Body fluid,Cells.CD16+CD57+/100 cells,NFr,Pt,Body fld,Qn,
"26476-2",Lymphocytes [#/volume] in Body fluid,Lymphocytes,NCnc,Pt,Body fld,Qn,
"15061-5",Erythropoietin (EPO) [Units/volume] in Serum or Plasma,Erythropoietin,ACnc,Pt,Ser/Plas,Qn,
"1952-1",Beta-2-Microglobulin [Mass/volume] in Serum,Beta-2-Microglobulin,MCnc,Pt,Ser,Qn,
"5044-3",Adrenal cortex Ab [Units/volume] in Serum by Radioimmunoassay (RIA),Adrenal cortex Ab,ACnc,Pt,Ser,Qn,RIA
"9721-2",Salivary gland Ab [Titer] in Serum,Salivary gland Ab,Titr,Pt,Ser,Qn,
"1747-5",Albumin [Mass/volume] in Body fluid,Albumin,MCnc,Pt,Body fld,Qn,
"53119-4",Tyrosine crystals [#/area] in Urine sediment by Microscopy high power field,Tyrosine crystals,Naric,Pt,Urine sed,Qn,Microscopy.light.HPF
"24524-1",Dopamine/Creatinine [Molar ratio] in Urine,Dopamine/Creatinine,SCrto,Pt,Urine,Qn,
"30411-3",Leukocytes Left Shift [Presence] in Blood,Leukocytes.left shift,ACnc,Pt,Bld,Ord,
"15199-3",Microcytes [Presence] in Blood by Automated count,Microcytes,ACnc,Pt,Bld,Ord,Automated count
"13354-6",Neutrophils.band form/100 leukocytes in Body fluid by Manual count,Neutrophils.band form/100 leukocytes,NFr,Pt,Body fld,Qn,Manual count
"18283-2",CD11 cells/100 cells in Blood,Cells.CD11/100 cells,NFr,Pt,Bld,Qn,
"26452-3",Eosinophils/100 leukocytes in Body fluid,Eosinophils/100 leukocytes,NFr,Pt,Body fld,Qn,
"51386-1",Plasma cells/100 leukocytes in Body fluid by Manual count,Plasma cells/100 leukocytes,NFr,Pt,Body fld,Qn,Manual count
"17175-1",CD55 cells/100 cells in Blood,Cells.CD55/100 cells,NFr,Pt,Bld,Qn,
"17185-0",CD66b cells/100 cells in Blood,Cells.CD66b/100 cells,NFr,Pt,Bld,Qn,
"2821-7",Potassium [Moles/volume] in Body fluid,Potassium,SCnc,Pt,Body fld,Qn,
"12181-4",Calcium [Moles/volume] in Body fluid,Calcium,SCnc,Pt,Body fld,Qn,
"9596-8",Borrelia burgdorferi 66kD IgG Ab [Presence] in Serum by Immunoblot (IB),Borrelia burgdorferi 66kD Ab.IgG,ACnc,Pt,Ser,Ord,IB
"32298-2",Amylase [Enzymatic activity/volume] in Unspecified specimen,Amylase,CCnc,Pt,XXX,Qn,
"44949-6",Borrelia burgdorferi 34kD IgG Ab [Presence] in Serum by Immunoblot (IB),Borrelia burgdorferi 34kD Ab.IgG,ACnc,Pt,Ser,Ord,IB
"32400-4",Menses finding,Menses finding,Find,Pt,^Patient,Nom,Reported
"11228-4",Uroporphyrin [Mass/volume] in Urine,Uroporphyrin,MCnc,Pt,Urine,Qn,
"20597-1",CD24 cells/100 cells in Unspecified specimen,Cells.CD24/100 cells,NFr,Pt,XXX,Qn,
"20608-6",CD41 cells/100 cells in Unspecified specimen,Cells.CD41/100 cells,NFr,Pt,XXX,Qn,
"15069-8",Fructosamine [Moles/volume] in Serum or Plasma,Fructosamine,SCnc,Pt,Ser/Plas,Qn,
"15007-8","2,3-Diphosphoglycerate [Moles/volume] in Red Blood Cells","2,3-Diphosphoglycerate",SCnc,Pt,RBC,Qn,
"11221-9",Pentacarboxylporphyrins [Mass/volume] in Urine,Pentacarboxylporphyrins,MCnc,Pt,Urine,Qn,
"9730-3",Pentacarboxylporphyrins [Mass/time] in 24 hour Urine,Pentacarboxylporphyrins,MRat,"24H",Urine,Qn,
"50751-7",Glucose [Mass/volume] in Serum or Plasma --15 minutes post 0.1 U/kg insulin,Glucose^15M post 0.1 U/kg insulin,MCnc,Pt,Ser/Plas,Qn,
"21309-0",Glucose [Mass/volume] in Serum or Plasma --45 minutes post XXX challenge,Glucose^45M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"55509-4",Somatotropin [Mass/volume] in Serum or Plasma --45 minutes post dose clonidine,Somatotropin^45M post dose clonidine,MCnc,Pt,Ser/Plas,Qn,
"40300-6",Somatotropin [Mass/volume] in Serum or Plasma --1.5 hours post dose clonidine,Somatotropin^1.5H post dose clonidine,MCnc,Pt,Ser/Plas,Qn,
"50213-8",Glucose [Mass/volume] in Serum or Plasma --3rd specimen,Glucose^3rd specimen,MCnc,Pt,Ser/Plas,Qn,
"50216-1",Glucose [Mass/volume] in Serum or Plasma --6th specimen,Glucose^6th specimen,MCnc,Pt,Ser/Plas,Qn,
"59983-7",Dehydroepiandrosterone sulfate (DHEA-S) [Mass/volume] in Serum or Plasma --1st specimen post XXX challenge,Dehydroepiandrosterone sulfate^1st specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"40305-5",Somatotropin [Mass/volume] in Serum or Plasma --2 hours post dose arginine,Somatotropin^2H post dose arginine,MCnc,Pt,Ser/Plas,Qn,
"50753-3",Somatotropin [Mass/volume] in Serum or Plasma --15 minutes post dose insulin IV,Somatotropin^15M post dose insulin IV,MCnc,Pt,Ser/Plas,Qn,
"1631-1",Somatotropin [Mass/volume] in Serum or Plasma --30 minutes post dose insulin IV,Somatotropin^30M post dose insulin IV,MCnc,Pt,Ser/Plas,Qn,
"1629-5",Somatotropin [Mass/volume] in Serum or Plasma --1 hour post dose insulin IV,Somatotropin^1H post dose insulin IV,MCnc,Pt,Ser/Plas,Qn,
"1451-4",Cortisol [Mass/volume] in Serum or Plasma --pre dose insulin IV,Cortisol^pre dose insulin IV,MCnc,Pt,Ser/Plas,Qn,
"1419-1",Cortisol [Mass/volume] in Serum or Plasma --30 minutes post dose insulin IV,Cortisol^30M post dose insulin IV,MCnc,Pt,Ser/Plas,Qn,
"1404-3",Cortisol [Mass/volume] in Serum or Plasma --1 hour post dose insulin IV,Cortisol^1H post dose insulin IV,MCnc,Pt,Ser/Plas,Qn,
"58547-1",Corticotropin [Mass/volume] in Plasma --15 minutes post dose insulin IV,Corticotropin^15M post dose insulin IV,MCnc,Pt,Plas,Qn,
"1358-1",Corticotropin [Mass/volume] in Plasma --1.5 hours post dose insulin IV,Corticotropin^1.5H post dose insulin IV,MCnc,Pt,Plas,Qn,
"50190-8",Iron & Iron binding capacity panel in Serum or Plasma,Iron & Iron binding capacity panel,-,Pt,Ser/Plas,Qn,
"13203-5",Borrelia burgdorferi IgM Ab [Presence] in Cerebral spinal fluid by Immunoblot (IB),Borrelia burgdorferi Ab.IgM,ACnc,Pt,CSF,Ord,IB
"43134-6",Calcidiol & Calciferol & Calcitriol panel [Mass/volume] in Serum or Plasma,Calcidiol & Calciferol & Calcitriol panel,MCnc,Pt,Ser/Plas,Qn,
"41608-1",Prolactin [Mass/volume] in Serum or Plasma --30 minutes post XXX challenge,Prolactin^30M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"41609-9",Prolactin [Mass/volume] in Serum or Plasma --1 hour post XXX challenge,Prolactin^1H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"1364-9",Corticotropin [Mass/volume] in Plasma --45 minutes post 1 ug/kg CRH IV,Corticotropin^45M post 1 ug/kg CRH IV,MCnc,Pt,Plas,Qn,
"24471-5",Platelet function (closure time) collagen+Epinephrine induced [Time] in Blood,Platelet function.collagen+Epinephrine induced,Time,Pt,Bld,Qn,
"24125-7",Androgen free Index in Serum or Plasma,Androgen.free index,SCrto,Pt,Ser/Plas,Qn,
"53027-9",Cyclic citrullinated peptide Ab [Units/volume] in Serum,Cyclic citrullinated peptide Ab,ACnc,Pt,Ser,Qn,
"13629-1",Interleukin 1 beta [Mass/volume] in Serum or Plasma,Interleukin 1 beta,MCnc,Pt,Ser/Plas,Qn,
"25104-1",Glutarate/Creatinine [Molar ratio] in Urine,Glutarate/Creatinine,SCrto,Pt,Urine,Qn,
"27887-9",Follitropin [Units/volume] in Serum or Plasma --15 minutes post XXX challenge,Follitropin^15M post XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"32316-2",Follitropin [Units/volume] in Serum or Plasma --30 minutes post XXX challenge,Follitropin^30M post XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"21276-1",Follitropin [Units/volume] in Serum or Plasma --1 hour post XXX challenge,Follitropin^1H post XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"4731-6",HLA-A2 [Presence],HLA-A2,ACnc,Pt,Bld,Ord,
"30471-7",Levetiracetam [Mass/volume] in Serum or Plasma,Levetiracetam,MCnc,Pt,Ser/Plas,Qn,
"3579-0",Doxepin [Mass/volume] in Serum or Plasma,Doxepin,MCnc,Pt,Ser/Plas,Qn,
"48097-0",Corticotropin [Mass/volume] in Plasma --8 PM specimen,Corticotropin^8 PM specimen,MCnc,Pt,Plas,Qn,
"48098-8",Cortisol [Mass/volume] in Serum or Plasma --12 AM specimen,Cortisol^12 AM specimen,MCnc,Pt,Ser/Plas,Qn,
"11165-8",Chinchilla IgE Ab [Units/volume] in Serum,Chinchilla Ab.IgE,ACnc,Pt,Ser,Qn,
"32559-7",Tau protein [Mass/volume] in Serum,Tau protein,MCnc,Pt,Ser,Qn,
"56504-4",Corticotropin [Mass/volume] in Plasma --15 minutes post XXX challenge,Corticotropin^15M post XXX challenge,MCnc,Pt,Plas,Qn,
"16665-2",Corticotropin [Mass/volume] in Plasma by Radioimmunoassay (RIA) --5 minutes post XXX challenge,Corticotropin^5M post XXX challenge,MCnc,Pt,Plas,Qn,RIA
"57725-4",Corticotropin [Mass/volume] in Plasma --20 minutes post XXX challenge,Corticotropin^20M post XXX challenge,MCnc,Pt,Plas,Qn,
"16654-6",Corticotropin [Mass/volume] in Plasma by Radioimmunoassay (RIA) --1.5 hours post XXX challenge,Corticotropin^1.5H post XXX challenge,MCnc,Pt,Plas,Qn,RIA
"16669-4",Cortisol [Mass/volume] in Serum or Plasma --10 minutes post XXX challenge,Cortisol^10M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"27851-5",Lutropin [Units/volume] in Serum or Plasma --3rd specimen post XXX challenge,Lutropin^3rd specimen post XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"27853-1",Lutropin [Units/volume] in Serum or Plasma --4th specimen post XXX challenge,Lutropin^4th specimen post XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"27416-7",SCL-70 extractable nuclear Ab [Units/volume] in Serum,SCL-70 extractable nuclear Ab,ACnc,Pt,Ser,Qn,
"43312-8",Desmoglein 3 Ab [Units/volume] in Serum,Desmoglein 3 Ab,ACnc,Pt,Ser,Qn,
"49922-8",Lymphocyte proliferation stimulated by phytohemagglutinin in Blood,Lymphocyte proliferation.phytohemagglutinin stimulation,NRat,Pt,Bld,Qn,
"38932-0",VA Compensation and Pension (CandP) examination acromegaly,VA C&P exam.acromegaly,Find,Pt,{Setting},Doc,{Provider}
"45636-8",Diabetes mellitus Minimum Data Set,Diabetes mellitus,Find,Pt,^Patient,Ord,MDS
"1406-8",Cortisol [Mass/volume] in Serum or Plasma --1 minute post 1 ug/kg CRH IV,Cortisol^1M post 1 ug/kg CRH IV,MCnc,Pt,Ser/Plas,Qn,
"21224-1",Cortisol [Mass/volume] in Serum or Plasma --2 hours post XXX challenge,Cortisol^2H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"12833-0",Prolactin [Mass/volume] in Serum or Plasma --20 minutes post XXX challenge,Prolactin^20M post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"46415-6",Lutropin [Units/volume] in Serum or Plasma --45 minutes post dose gonadotropin releasing hormone,Lutropin^45M post dose gonadotropin releasing hormone,ACnc,Pt,Ser/Plas,Qn,
"21275-3",Follitropin [Units/volume] in Serum or Plasma --15 minutes post dose gonadotropin releasing hormone,Follitropin^15M post dose gonadotropin releasing hormone,ACnc,Pt,Ser/Plas,Qn,
"50503-2",Insulin [Units/volume] in Serum or Plasma --3rd specimen,Insulin^3rd specimen,ACnc,Pt,Ser/Plas,Qn,
"50465-4",C peptide [Moles/volume] in Serum or Plasma --5th specimen,C peptide^5th specimen,SCnc,Pt,Ser/Plas,Qn,
"7332-0",Gelatin IgE Ab [Units/volume] in Serum,Gelatin Ab.IgE,ACnc,Pt,Ser,Qn,
"50555-2",Glucose [Presence] in Urine by Automated test strip,Glucose,ACnc,Pt,Urine,Ord,Test strip.automated
"2333-3",Gastrin [Mass/volume] in Serum or Plasma,Gastrin,MCnc,Pt,Ser/Plas,Qn,
"10964-5","17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --15 minutes post 250 ug corticotropin IM","17-Hydroxyprogesterone^15M post 250 ug corticotropin IM",MCnc,Pt,Ser/Plas,Qn,
"1854-9",Androstenedione [Mass/volume] in Serum or Plasma,Androstenedione,MCnc,Pt,Ser/Plas,Qn,
"44717-7",Lipoprotein.beta/Lipoprotein.alpha [Mass ratio] in Serum or Plasma,Lipoprotein.beta/Lipoprotein.alpha,MCrto,Pt,Ser/Plas,Qn,
"43940-6",Immunoglobulin light chains.kappa.free [Mass/volume] in 24 hour Urine,Immunoglobulin light chains.kappa.free,MCnc,"24H",Urine,Qn,
"51538-7",Cladosporium herbarum IgG Ab [Presence] in Serum,Cladosporium herbarum Ab.IgG,ACnc,Pt,Ser,Ord,
"7172-0",Candida albicans IgG Ab [Units/volume] in Serum,Candida albicans Ab.IgG,ACnc,Pt,Ser,Qn,
"59382-2",Aspergillus versicolor IgG Ab [Mass/volume] in Serum,Aspergillus versicolor Ab.IgG,MCnc,Pt,Ser,Qn,
"1832-5",Alpha-1-Fetoprotein [Mass/volume] in Amniotic fluid,Alpha-1-Fetoprotein,MCnc,Pt,Amnio fld,Qn,
"9614-9",Cortisol [Mass/volume] in Serum or Plasma --45 minutes post 250 ug corticotropin IM,Cortisol^45M post 250 ug corticotropin IM,MCnc,Pt,Ser/Plas,Qn,
"30998-9",Timothy recombinant (rPhl p) 6 IgE Ab [Units/volume] in Serum,Phleum pratense recombinant (rPhl p) 6 Ab.IgE,ACnc,Pt,Ser,Qn,
"10965-2","17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --30 minutes post 250 ug corticotropin IM","17-Hydroxyprogesterone^30M post 250 ug corticotropin IM",MCnc,Pt,Ser/Plas,Qn,
"16108-3","17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --45 minutes post 250 ug corticotropin IM","17-Hydroxyprogesterone^45M post 250 ug corticotropin IM",MCnc,Pt,Ser/Plas,Qn,
"50480-3",Follitropin [Units/volume] in Serum or Plasma --4th specimen,Follitropin^4th specimen,ACnc,Pt,Ser/Plas,Qn,
"12823-1",Prolactin [Mass/volume] in Serum or Plasma --2nd specimen post XXX challenge,Prolactin^2nd specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"50454-8",Cortisol [Mass/volume] in Serum or Plasma --2nd specimen,Cortisol^2nd specimen,MCnc,Pt,Ser/Plas,Qn,
"50667-5",Glucose tolerance [interpretation] in Serum or Plasma Narrative,Glucose tolerance,Imp,Pt,Ser/Plas,Nar,
